Packet_Number,Timestamp,Data
611,2026-02-27 00:10:11,-147.25274725274724|-133.33333333333334|-142.85714285714286|-131.86813186813185|38.095238095238095
612,2026-02-27 00:10:11,513.5531135531136|1499.6336996336997|1499.6336996336997|475.45787545787545|-627.8388278388278
613,2026-02-27 00:10:11,-699.6336996336996|-389.010989010989|-174.35897435897436|-118.68131868131869|-102.56410256410257
614,2026-02-27 00:10:11,-101.83150183150182|-76.19047619047619|-71.06227106227107|-60.8058608058608|-41.75824175824176
615,2026-02-27 00:10:11,-31.501831501831504|-15.384615384615385|-8.791208791208792|8.058608058608058|45.42124542124542
616,2026-02-27 00:10:11,54.94505494505494|78.3882783882784|101.83150183150182|126.73992673992674|169.23076923076923
617,2026-02-27 00:10:11,205.12820512820514|254.94505494505495|315.75091575091574|384.61538461538464|452.01465201465203
618,2026-02-27 00:10:11,501.83150183150184|561.9047619047619|592.6739926739926|583.8827838827839|570.6959706959707
619,2026-02-27 00:10:11,512.0879120879121|426.3736263736264|295.23809523809524|146.5201465201465|16.84981684981685
620,2026-02-27 00:10:11,-97.43589743589743|-173.62637362637363|-242.49084249084248|-295.97069597069594|-312.8205128205128
621,2026-02-27 00:10:11,-331.86813186813185|-342.12454212454213|-347.25274725274727|-347.98534798534797|-341.3919413919414
622,2026-02-27 00:10:11,-343.5897435897436|-321.61172161172163|-312.0879120879121|-306.959706959707|-295.97069597069594
623,2026-02-27 00:10:12,-302.56410256410254|-283.5164835164835|-282.05128205128204|-273.2600732600733|-265.9340659340659
624,2026-02-27 00:10:12,-267.3992673992674|-261.53846153846155|-264.46886446886447|-266.6666666666667|-260.0732600732601
625,2026-02-27 00:10:12,-263.003663003663|-263.7362637362637|-273.2600732600733|-274.72527472527474|-262.27106227106225
626,2026-02-27 00:10:12,-261.53846153846155|-261.53846153846155|-266.6666666666667|-262.27106227106225|-251.28205128205127
627,2026-02-27 00:10:12,-254.94505494505495|-243.95604395604394|-242.49084249084248|-243.95604395604394|-238.82783882783883
628,2026-02-27 00:10:12,-242.49084249084248|-230.03663003663004|-228.57142857142858|-220.51282051282053|-211.7216117216117
629,2026-02-27 00:10:12,-204.3956043956044|-204.3956043956044|-205.86080586080587|-205.12820512820514|-205.86080586080587
630,2026-02-27 00:10:12,-204.3956043956044|-191.2087912087912|-191.2087912087912|-191.2087912087912|-176.55677655677655
631,2026-02-27 00:10:12,-174.35897435897436|-175.0915750915751|-176.55677655677655|-169.96336996336996|-158.97435897435898
632,2026-02-27 00:10:12,-158.97435897435898|-150.1831501831502|-150.1831501831502|-150.1831501831502|-142.85714285714286
633,2026-02-27 00:10:12,-145.78754578754578|-132.6007326007326|-121.6117216117216|-124.54212454212454|-128.2051282051282
634,2026-02-27 00:10:12,-107.6923076923077|-60.07326007326007|-59.34065934065934|-73.99267399267399|-95.97069597069597
635,2026-02-27 00:10:12,-136.996336996337|-145.05494505494505|-148.71794871794873|-134.7985347985348|-126.00732600732601
636,2026-02-27 00:10:12,-135.53113553113553|-126.73992673992674|-132.6007326007326|-49.81684981684982|273.992673992674
637,2026-02-27 00:10:12,1250.5494505494505|1499.6336996336997|1142.1245421245421|-312.8205128205128|-767.032967032967
638,2026-02-27 00:10:12,-484.24908424908426|-219.04761904761904|-129.67032967032966|-127.47252747252747|-119.41391941391942
639,2026-02-27 00:10:12,-109.15750915750915|-73.99267399267399|-59.34065934065934|-37.362637362637365|-16.84981684981685
640,2026-02-27 00:10:12,-11.72161172161172|10.989010989010989|25.641025641025642|41.75824175824176|60.8058608058608
641,2026-02-27 00:10:12,75.45787545787546|103.2967032967033|128.2051282051282|167.03296703296704|210.25641025641025
642,2026-02-27 00:10:12,255.67765567765568|311.35531135531136|366.3003663003663|431.5018315018315|498.9010989010989
643,2026-02-27 00:10:12,550.1831501831501|579.4871794871794|585.3479853479854|576.5567765567765|532.6007326007326
644,2026-02-27 00:10:12,453.4798534798535|349.45054945054943|205.86080586080587|66.66666666666667|-47.61904761904762
645,2026-02-27 00:10:12,-150.1831501831502|-213.1868131868132|-272.5274725274725|-309.8901098901099|-321.61172161172163
646,2026-02-27 00:10:12,-340.65934065934067|-336.996336996337|-341.3919413919414|-342.12454212454213|-340.65934065934067
647,2026-02-27 00:10:12,-336.2637362637363|-314.2857142857143|-301.83150183150184|-284.98168498168496|-277.65567765567766
648,2026-02-27 00:10:12,-299.6336996336996|-290.84249084249086|-293.7728937728938|-284.98168498168496|-284.24908424908426
649,2026-02-27 00:10:13,-284.98168498168496|-282.7838827838828|-286.4468864468864|-273.992673992674|-276.9230769230769
650,2026-02-27 00:10:13,-296.7032967032967|-287.1794871794872|-298.16849816849816|-293.7728937728938|-289.3772893772894
651,2026-02-27 00:10:13,-295.97069597069594|-277.65567765567766|-284.98168498168496|-286.4468864468864|-266.6666666666667
652,2026-02-27 00:10:13,-273.2600732600733|-260.0732600732601|-252.01465201465203|-254.21245421245422|-249.8168498168498
653,2026-02-27 00:10:13,-246.8864468864469|-238.0952380952381|-226.37362637362637|-226.37362637362637|-227.1062271062271
654,2026-02-27 00:10:13,-225.64102564102564|-213.1868131868132|-212.45421245421247|-200.73260073260073|-192.67399267399267
